car_name,car_versions,car_price_in_rupees,fuel_type,city,year_of_manufacture,car_age
Volkswagen, Polo Highline1.2L (P),6.99 Lakh,Petrol,Bangalore,2016,7
Hyundai, Creta 1.6 SX Plus AT Petrol,9.64 Lakh,Petrol,Pune,2016,7
Honda, City ZX Petrol [2019-2019],12.49 Lakh,Petrol,Bangalore,2020,3
Mercedes-Benz, CLA 200 Petrol Sport,25.5 Lakh,Petrol,Mumbai,2017,6
Volkswagen, Polo Highline1.2L (P),3 Lakh,Petrol,Kolkata,2013,10
Volvo ,XC90 D5 AWD,45 Lakh,Diesel,Kolkata,2018,5
Mahindra, XUV300 1.5 W8 (O) AMT [2019-2020],12.99 Lakh,Diesel,Bangalore,2019,4
Isuzu, D-Max V-Cross 4x4,16.95 Lakh,Diesel,Bangalore,2017,6
Honda ,City SV CVT,6.58 Lakh,Petrol,Pune,2015,8
Honda ,Jazz S AT [2015-2016],6.85 Lakh,Petrol,Bangalore,2015,8
Tata, Safari XZA Plus 6S Adventure New,23.95 Lakh,Diesel,Bangalore,2021,2
Hyundai ,Venue SX 1.5 CRDi,9.25 Lakh,Diesel,Ahmedabad,2020,3
Honda ,City VX CVT,7.35 Lakh,Petrol,Chennai,2016,7
Tata ,Safari Storme 2.2 VX 4x2,5.75 Lakh,Diesel,Kolkata,2014,9
Audi, A4 2.0 TDI (177bhp) Premium,14.9 Lakh,Diesel,Hyderabad,2013,10
Hyundai ,Creta S 1.5 Diesel [2020-2022],16 Lakh,Diesel,Hyderabad,2021,2
Honda ,City V Diesel,6.8 Lakh,Diesel,Hyderabad,2015,8
Maruti Suzuki, Ciaz ZXI+,7.31 Lakh,Petrol,Thane,2017,6
Maruti Suzuki ,Wagon R 1.0 LXi,2.95 Lakh,Petrol,Bangalore,2011,12
Honda ,WR-V SV MT Petrol,7.75 Lakh,Petrol,Ahmedabad,2020,3
Maruti Suzuki, S-Cross Alpha 1.3,11.5 Lakh,Diesel,Hyderabad,2019,4
Mahindra, XUV500 W10,10.5 Lakh,Diesel,Thane,2016,7
Toyota, Innova Crysta 2.8 ZX AT 7 STR [2016-2020],19 Lakh,Diesel,Ahmedabad,2018,5
Maruti Suzuki, Wagon R 1.0 LXI ABS,5.56 Lakh,Petrol,Delhi,2021,2
Jeep, Compass Longitude (O) 2.0 Diesel [2017-2020],15.4 Lakh,Diesel,Thane,2019,4
Maruti Suzuki, Celerio VXi (O) CNG,6.15 Lakh,CNG,Thane,2020,3
Hyundai ,i10 Sportz 1.2 Kappa2,4.55 Lakh,Petrol,Hyderabad,2014,9
Honda, City V CVT Petrol [2017-2019],7.95 Lakh,Petrol,Thane,2017,6
Jeep, Compass Limited Plus Diesel [2018-2020],17.99 Lakh,Diesel,Bangalore,2019,4
Honda, Amaze 1.2 S AT i-VTEC,3.95 Lakh,Petrol,Mumbai,2014,9
Maruti Suzuki, Baleno Alpha 1.2,7.11 Lakh,Petrol,Mumbai,2019,4
Toyota, Land Cruiser LC 200 VX,70 Lakh,Diesel,Pune,2011,12
Hyundai, Verna Fluidic 1.6 VTVT SX Opt AT,10.11 Lakh,Petrol,Pune,2018,5
Maruti Suzuki ,S-Presso VXi Plus,4.4 Lakh,Petrol,Hyderabad,2020,3
Honda ,City 1.5 V MT,3.25 Lakh,Petrol,Noida,2010,13
Maruti Suzuki ,Swift VXi,4.11 Lakh,Petrol,Delhi,2015,8
Hyundai, Creta 1.6 SX Plus Special Edition,11.57 Lakh,Diesel,Hyderabad,2017,6
Maruti Suzuki ,S-Cross Zeta AT,9.14 Lakh,Petrol,Kolkata,2020,3
Hyundai ,i20 Sportz 1.5 MT Diesel,9.5 Lakh,Diesel,Ahmedabad,2022,1
Maruti Suzuki, Swift ZXi,4.1 Lakh,Petrol,Noida,2014,9
Toyota, Urban Cruiser High Grade AT,12.56 Lakh,Petrol,Pune,2022,1
Honda, City V CVT Petrol [2017-2019],7.93 Lakh,Petrol,Delhi,2017,6
Honda, Brio S MT,3.45 Lakh,Petrol,Ahmedabad,2013,10
Skoda ,Rapid Ambition 1.6 MPI MT Plus,5.25 Lakh,Petrol,Hyderabad,2014,9
Maruti Suzuki ,Swift VXi,5.57 Lakh,Petrol,Chennai,2017,6
Chevrolet ,Tavera Neo 3 LS- 10 STR BS-IV,7.95 Lakh,Diesel,Thane,2016,7
Toyota ,Corolla Altis VL AT Petrol,12.75 Lakh,Petrol,Mumbai,2017,6
Nissan, Kicks XV Premium Turbo 1.3,12.65 Lakh,Petrol,Hyderabad,2020,3
Maruti Suzuki, Celerio VXi CNG,6.1 Lakh,CNG,Thane,2020,3
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],4.94 Lakh,Petrol,Delhi,2017,6
Honda ,City VX Diesel,6.8 Lakh,Diesel,Kolkata,2015,8
Maruti Suzuki, Alto K10 VXi [2014-2019],3.36 Lakh,Petrol,Pune,2015,8
Audi, Q7 45 TDI Premium Plus,52 Lakh,Diesel,Pune,2017,6
Maruti Suzuki, Alto 800 Lxi,2.99 Lakh,Petrol,Bangalore,2014,9
Renault, Triber RXZ [2019-2020],6.7 Lakh,Petrol,Pune,2020,3
Maruti Suzuki ,Swift VXi [2014-2017],6.5 Lakh,Petrol,Kolkata,2019,4
Tata ,Tiago Revotron XT [2016-2019],4.75 Lakh,Petrol,Noida,2018,5
Maruti Suzuki, Alto K10 LXi,2.01 Lakh,Petrol,Delhi,2010,13
Hyundai, Venue SX 1.4 CRDi,9.83 Lakh,Diesel,Delhi,2019,4
Maruti Suzuki ,Swift VDi,4.27 Lakh,Diesel,Kolkata,2017,6
Volkswagen, Vento Highline Diesel,4.7 Lakh,Diesel,Hyderabad,2013,10
Hyundai ,Elite i20 Asta 1.2,5.49 Lakh,Petrol,Gurgaon,2015,8
Hyundai, Creta SX Plus 1.6 AT CRDI,10.93 Lakh,Diesel,Kolkata,2018,5
Hyundai ,Verna SX 1.5 VTVT,11.79 Lakh,Petrol,Bangalore,2020,3
Maruti Suzuki, S-Cross Alpha 1.3,8.75 Lakh,Diesel,Thane,2018,5
Honda, City VX,9.5 Lakh,Petrol,Pallikarnai,2017,6
Honda, City V Petrol [2017-2019],7.45 Lakh,Petrol,Mumbai,2017,6
Ford, EcoSport Titanium 1.5L TDCi,8.25 Lakh,Diesel,Bangalore,2016,7
Jaguar ,XE Prestige Diesel,32.99 Lakh,Diesel,Bangalore,2017,6
Renault ,Kwid RXT [2015-2019],3.15 Lakh,Petrol,Thane,2017,6
Maruti Suzuki ,Dzire ZDi AMT,7.64 Lakh,Diesel,Bangalore,2018,5
Maruti Suzuki, Celerio VXi AMT,3.85 Lakh,Petrol,Noida,2014,9
Maruti Suzuki, Wagon R 1.0 VXI ABS,5.5 Lakh,Petrol,Hyderabad,2019,4
Hyundai ,Creta SX Plus 1.6 AT CRDI,10.25 Lakh,Diesel,Ahmedabad,2017,6
Maruti Suzuki, S-Cross Zeta AT,11.56 Lakh,Petrol,Ahmedabad,2021,2
Hyundai, Creta SX Plus 1.6  Petrol,8.55 Lakh,Petrol,Thane,2015,8
Maruti Suzuki, Baleno Delta 1.2,5.82 Lakh,Petrol,Kolkata,2018,5
Maruti Suzuki, Vitara Brezza ZXi Plus AT SHVS,12.75 Lakh,Petrol,Bangalore,2020,3
BMW, 5 Series GT 535d,15 Lakh,Diesel,Ahmedabad,2012,11
Volkswagen, Vento Highline 1.0L TSI,12 Lakh,Petrol,Hyderabad,2021,2
Hyundai, Verna EX 1.6 VTVT [2017-2018],5.25 Lakh,Petrol,Delhi,2014,9
Skoda, Yeti Ambiente,6 Lakh,Diesel,Hyderabad,2011,12
Renault, Kwid 1.0 RXT Opt,4.52 Lakh,Petrol,Bangalore,2019,4
Nissan, Sunny XL,2.49 Lakh,Petrol,Kolkata,2012,11
BMW, 5 Series 520d M Sport,33 Lakh,Diesel,Mumbai,2017,6
Honda ,Amaze 1.2 SX i-VTEC,4.45 Lakh,Petrol,Mumbai,2016,7
Honda, Brio V MT,3.51 Lakh,Petrol,Mumbai,2014,9
Hyundai, Creta S 1.5 Petrol [2020-2022],13.25 Lakh,Petrol,Thane,2021,2
Maruti Suzuki, Baleno Zeta 1.2,4.83 Lakh,Petrol,Kolkata,2016,7
Maruti Suzuki, Vitara Brezza ZDi Plus,10.22 Lakh,Diesel,Pune,2019,4
Hyundai ,i20 Magna 1.2,3.75 Lakh,Petrol,Mumbai,2014,9
Maruti Suzuki, Wagon R 1.0 LXI CNG,4.2 Lakh,CNG,Pune,2018,5
Kia, Sonet GTX Plus 1.0 iMT [2020-2021],11.04 Lakh,Petrol,Kolkata,2020,3
Hyundai ,Elite i20 Sportz 1.2 (O),5.95 Lakh,Petrol,Thane,2016,7
Maruti Suzuki, Wagon R 1.0 VXI,2.99 Lakh,Petrol,Kolkata,2014,9
Hyundai ,Santro Sportz CNG [2018-2020],5.29 Lakh,CNG,Pune,2018,5
Mahindra ,TUV300 T8,6.23 Lakh,Diesel,Kolkata,2017,6
Skoda ,Laura Ambition 2.0 TDI CR AT,4.25 Lakh,Diesel,Mumbai,2013,10
Mahindra, Thar LX Hard Top Petrol AT,15.75 Lakh,Petrol,Ahmedabad,2020,3
Audi ,Q3 35 TDI quattro Technology,14.9 Lakh,Diesel,Ahmedabad,2015,8
Maruti Suzuki, XL6 Alpha MT Petrol,9.9 Lakh,Petrol,Thane,2020,3
Toyota ,Innova Crysta GX 2.4 7 STR,21.5 Lakh,Diesel,Ahmedabad,2020,3
Tata ,Tigor EV XZ Plus,11.35 Lakh,Electric,Thane,2021,2
Skoda ,Superb Elegance 1.8 TSI AT,8 Lakh,Petrol + 1,Thiruvallur,2010,13
Maruti Suzuki, Swift VXi [2014-2017],6.95 Lakh,Petrol,Hyderabad,2019,4
Renault, Duster RXL Petrol,4.8 Lakh,Petrol,Pune,2014,9
Tata, Harrier XZ [2019-2020],15.51 Lakh,Diesel,Ahmedabad,2019,4
Honda, City VX CVT,7.75 Lakh,Petrol,Thane,2016,7
Hyundai ,i10 Sportz 1.2 Kappa2,3.25 Lakh,Petrol,Thane,2014,9
Maruti Suzuki, Swift VXi ABS,6.89 Lakh,Petrol,Bangalore,2017,6
Maruti Suzuki, Baleno Delta 1.2,7.19 Lakh,Petrol,Pune,2019,4
Honda ,Brio V MT,2.39 Lakh,Petrol,Ahmedabad,2012,11
Maruti Suzuki ,Alto K10 VXi,2.6 Lakh,Petrol,Hyderabad,2012,11
Jeep ,Compass Limited 2.0 Diesel [2017-2020],13.5 Lakh,Diesel,Ahmedabad,2019,4
Hyundai ,Grand i10 Magna 1.0 Kappa VTVT LPG [2014-2016],4.75 Lakh,LPG,Bangalore,2015,8
Maruti Suzuki ,Ciaz Alpha Hybrid 1.5 [2018-2020],8.45 Lakh,Petrol,Mumbai,2018,5
Audi ,A4 2.0 TDI (143bhp),13.5 Lakh,Diesel,Ahmedabad,2013,10
Audi ,Q7 45 TDI Technology Pack,54 Lakh,Diesel,Kolkata,2019,4
Maruti Suzuki, Vitara Brezza ZDi+ Dual Tone [2017-2018],8.21 Lakh,Diesel,Mumbai,2016,7
BMW ,X1 sDrive20d,8 Lakh,Diesel,Ahmedabad,2011,12
Hyundai, Elite i20 Magna Plus 1.4 CRDi,5.94 Lakh,Diesel,Delhi,2018,5
Kia ,Sonet HTK Plus 1.5 AT,15.5 Lakh,Diesel,Thane,2021,2
Hyundai ,Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],4.96 Lakh,Petrol,Pune,2015,8
BMW ,X1 sDrive20d xLine,37.85 Lakh,Diesel,Bangalore,2019,4
Hyundai ,Creta E Plus 1.6 Petrol,8.29 Lakh,Petrol,Mumbai,2017,6
Maruti ,Suzuki Wagon R 1.0 VXI,3.41 Lakh,Petrol,Hyderabad,2014,9
Honda ,WR-V VX MT Petrol,6.49 Lakh,Petrol,Kolkata,2017,6
Hyundai ,Grand i10 Sportz 1.2 Kappa VTVT Dual Tone,6.59 Lakh,Petrol,Bangalore,2019,4
Maruti Suzuki, Wagon R ZXI 1.2 AGS,6.99 Lakh,Petrol,Bangalore,2020,3
Toyota, Innova Crysta 2.8 GX AT 8 STR [2016-2020],18.9 Lakh,Diesel,Thane,2018,5
Honda ,Amaze 1.2 S MT Petrol [2018-2020],5.85 Lakh,Petrol,Thane,2018,5
